Date,Date Value,Open,High,Low,Close,Adj Close,Volume
27-04-2015,42121,7.89,7.97,7.745,7.8275,5.806324,25115600
28-04-2015,42122,7.82,7.8925,7.7475,7.82,5.800762,21934000
29-04-2015,42123,7.77,7.835,7.7625,7.7875,5.776653,15037600
30-04-2015,42124,7.7425,7.7675,7.7175,7.745,5.745127,14210800
01-05-2015,42125,7.7575,7.815,7.7475,7.7975,5.784071,6830800
04-05-2015,42128,7.9375,8,7.885,7.885,5.848977,11470400
05-05-2015,42129,7.79,7.8375,7.775,7.805,5.789635,9472000
06-05-2015,42130,7.7175,7.73,7.6275,7.655,5.678368,11757200
07-05-2015,42131,7.7575,7.78,7.66,7.705,5.715456,15061600
08-05-2015,42132,7.7825,7.8125,7.7475,7.805,5.789635,10046800
11-05-2015,42135,7.8975,7.9175,7.8075,7.825,5.80447,11815200
12-05-2015,42136,7.6575,7.7225,7.65,7.67,5.689494,14971200
13-05-2015,42137,7.715,7.7775,7.6725,7.6875,5.702475,7254800
14-05-2015,42138,7.6925,7.71,7.6575,7.675,5.693202,6582000
15-05-2015,42139,7.72,7.7825,7.6675,7.7675,5.761817,12102400
18-05-2015,42142,7.8125,7.9025,7.7675,7.8525,5.824869,10635200
19-05-2015,42143,7.95,7.9825,7.9025,7.925,5.878649,7671600
20-05-2015,42144,8.0125,8.05,7.98,8.005,5.937992,9238400
21-05-2015,42145,8.01,8.01,7.9475,7.96,5.904611,8226000
22-05-2015,42146,7.9825,7.9825,7.935,7.9575,5.902757,7174400
26-05-2015,42150,7.8425,7.8525,7.78,7.83,5.808178,6782000
27-05-2015,42151,7.7775,7.8275,7.745,7.815,5.797053,9391200
28-05-2015,42152,7.8325,7.895,7.8275,7.885,5.848977,6782800
29-05-2015,42153,7.9425,7.9725,7.9125,7.9675,5.910174,12460400
01-06-2015,42156,7.9925,8.095,7.9825,8.0525,5.973226,9960800
02-06-2015,42157,7.94,7.97,7.8925,7.955,5.900902,12408400
03-06-2015,42158,7.97,8.1125,7.94,8.025,5.952827,11231200
04-06-2015,42159,7.9575,7.995,7.8525,7.9125,5.869376,10394400
05-06-2015,42160,7.8825,7.9775,7.88,7.9525,5.899048,6310800
08-06-2015,42163,7.8825,7.905,7.865,7.88,5.845268,5764800
09-06-2015,42164,7.83,7.8525,7.7575,7.7775,5.769235,8981600
10-06-2015,42165,7.8975,7.9525,7.8625,7.93,5.882357,12770800
11-06-2015,42166,7.7825,7.8675,7.7525,7.8125,6.154865,9450000
12-06-2015,42167,7.665,7.7625,7.6475,7.755,6.109565,10429600
15-06-2015,42170,7.6975,7.83,7.68,7.8125,6.154865,7482000
16-06-2015,42171,7.7875,7.9775,7.7875,7.96,6.27107,8279600
17-06-2015,42172,7.8625,7.9825,7.8625,7.98,6.286827,8270000
18-06-2015,42173,7.965,8.105,7.965,8.0425,6.336064,7822800
19-06-2015,42174,8.0125,8.04,7.965,7.975,6.282887,5787600
22-06-2015,42177,8.095,8.18,8.0625,8.1325,6.406968,6966800
23-06-2015,42178,8.08,8.125,8.0475,8.055,6.345913,8711600
24-06-2015,42179,7.99,8.045,7.87,7.88,6.208043,12708400
25-06-2015,42180,7.95,8.14,7.945,8.065,6.35379,9659400
26-06-2015,42181,8.13,8.155,8.055,8.085,6.369548,9585400
29-06-2015,42184,7.955,7.99,7.905,7.93,6.247434,5429200
30-06-2015,42185,7.97,7.985,7.83,7.925,6.243496,6579600
01-07-2015,42186,7.99,8.01,7.875,7.955,6.267131,7260400
02-07-2015,42187,7.975,7.985,7.875,7.98,6.286827,4183000
06-07-2015,42191,7.93,7.965,7.885,7.94,6.255312,10254800
07-07-2015,42192,7.915,7.945,7.795,7.93,6.247434,5044600
08-07-2015,42193,7.76,7.785,7.7,7.725,6.085931,8665200
09-07-2015,42194,7.7,7.815,7.66,7.705,6.070175,6421200
10-07-2015,42195,7.705,7.765,7.675,7.74,6.097748,6001400
13-07-2015,42198,7.74,7.81,7.71,7.77,6.121383,4954600
14-07-2015,42199,7.835,7.865,7.755,7.79,6.137139,6055200
15-07-2015,42200,7.825,7.92,7.81,7.89,6.215921,5095200
16-07-2015,42201,7.975,8.04,7.94,7.965,6.275009,5777200
17-07-2015,42202,8,8.02,7.885,7.92,6.239557,8292400
20-07-2015,42205,7.925,7.975,7.855,7.885,6.211983,8805800
21-07-2015,42206,8.815,8.95,8.515,8.53,6.720128,34685200
22-07-2015,42207,8.555,8.74,8.55,8.63,6.798912,10838600
23-07-2015,42208,8.6,8.725,8.6,8.66,6.822545,8963600
24-07-2015,42209,8.595,8.675,8.555,8.615,6.787094,9637600
27-07-2015,42212,8.39,8.45,8.285,8.37,6.594077,8278000
28-07-2015,42213,8.44,8.47,8.33,8.465,6.66892,7298800
29-07-2015,42214,8.51,8.555,8.47,8.5,6.696494,6515400
30-07-2015,42215,8.45,8.505,8.365,8.475,6.676799,6356000
31-07-2015,42216,8.48,8.555,8.44,8.455,6.661041,8677400
03-08-2015,42219,8.5,8.565,8.43,8.48,6.680737,6708600
04-08-2015,42220,8.395,8.485,8.345,8.47,6.67286,5603000
05-08-2015,42221,8.625,8.775,8.625,8.695,6.850118,8204200
06-08-2015,42222,8.675,8.725,8.575,8.655,6.818607,6208400
07-08-2015,42223,8.655,8.77,8.655,8.765,6.905266,6726600
10-08-2015,42226,8.7,8.855,8.7,8.845,6.968294,6946800
11-08-2015,42227,8.81,8.865,8.695,8.73,6.877693,4849000
12-08-2015,42228,8.87,8.94,8.785,8.925,7.031319,7680800
13-08-2015,42229,8.885,9.105,8.885,9.015,7.102222,8374200
14-08-2015,42230,9.015,9.05,8.97,8.985,7.078587,4673200
17-08-2015,42233,8.95,8.995,8.915,8.95,7.051013,4472400
18-08-2015,42234,9.015,9.1,8.935,9,7.090405,6612000
19-08-2015,42235,9.115,9.115,9,9.08,7.15343,6875200
20-08-2015,42236,8.895,8.91,8.655,8.655,6.818607,10429800
21-08-2015,42237,8.71,8.77,8.525,8.525,6.71619,9104600
24-08-2015,42240,8.025,8.335,7.95,8.27,6.515295,21571400
25-08-2015,42241,8.41,8.495,8.25,8.25,6.499538,9722400
26-08-2015,42242,8.32,8.485,8.245,8.475,6.676799,16751000
27-08-2015,42243,8.5,8.635,8.485,8.635,6.80285,9708000
28-08-2015,42244,8.67,8.785,8.585,8.755,6.897389,6263600
31-08-2015,42247,8.575,8.66,8.56,8.575,6.75558,9062800
01-09-2015,42248,8.475,8.515,8.385,8.425,6.637407,7883600
02-09-2015,42249,8.59,8.74,8.485,8.725,6.873755,9236800
03-09-2015,42250,8.665,8.83,8.665,8.775,6.913145,7451600
04-09-2015,42251,8.45,8.56,8.375,8.46,6.66498,8195000
08-09-2015,42255,8.495,8.735,8.485,8.72,6.869814,9880000
09-09-2015,42256,8.845,8.85,8.625,8.635,6.80285,10543000
10-09-2015,42257,8.64,8.825,8.595,8.8,6.932841,11301000
11-09-2015,42258,8.755,8.85,8.72,8.845,6.968294,8787800
14-09-2015,42261,8.85,8.87,8.775,8.84,6.964355,9604600
15-09-2015,42262,8.855,8.89,8.825,8.88,6.995866,8642000
16-09-2015,42263,8.92,8.95,8.865,8.935,7.039198,5621200
17-09-2015,42264,8.9,9,8.845,8.875,6.991927,5153600
18-09-2015,42265,8.87,8.87,8.665,8.71,6.861936,7047200
21-09-2015,42268,8.845,8.965,8.78,8.93,7.035257,6526000
22-09-2015,42269,8.835,8.955,8.805,8.875,6.991927,7105000
23-09-2015,42270,8.955,8.97,8.82,8.825,6.952535,5936400
24-09-2015,42271,8.91,8.935,8.78,8.84,6.964355,7678600
25-09-2015,42272,8.89,8.94,8.82,8.905,7.015562,6099600
28-09-2015,42275,8.895,8.94,8.825,8.92,7.027379,7896600
29-09-2015,42276,8.915,9.06,8.89,9.025,7.110101,7779000
30-09-2015,42277,9.175,9.58,9.155,9.545,7.519769,20944800
01-10-2015,42278,9.515,9.53,9.31,9.445,7.440985,10015400
02-10-2015,42279,9.37,9.45,9.19,9.445,7.440985,10204600
05-10-2015,42282,9.525,9.73,9.505,9.72,7.657637,7771200
06-10-2015,42283,9.545,9.57,9.475,9.5,7.484317,10564800
07-10-2015,42284,9.445,9.505,9.415,9.505,7.488256,7656200
08-10-2015,42285,9.43,9.58,9.43,9.58,7.547341,11381600
09-10-2015,42286,9.7,9.7,9.505,9.575,7.543403,16092800
12-10-2015,42289,9.34,9.515,8.825,8.94,7.043135,26413800
13-10-2015,42290,8.89,8.89,8.62,8.765,6.905266,16401000
14-10-2015,42291,8.845,8.9,8.66,8.7,6.854058,12252000
15-10-2015,42292,8.7,8.73,8.63,8.725,6.997047,8776600
16-10-2015,42293,8.75,9.035,8.695,9.02,7.233623,12455000
19-10-2015,42296,9,9.035,8.91,8.96,7.185506,7743400
20-10-2015,42297,9.055,9.08,8.965,9.025,7.237633,15409200
21-10-2015,42298,9.055,9.06,8.795,8.825,7.077241,8723400
22-10-2015,42299,8.885,9.09,8.855,9.08,7.28174,5201800
23-10-2015,42300,9.195,9.33,9.125,9.31,7.46619,8549200
26-10-2015,42303,9.245,9.315,9.225,9.25,7.418072,4395600
27-10-2015,42304,9.25,9.31,9.165,9.25,7.418072,4442400
28-10-2015,42305,9.24,9.36,9.17,9.3,7.45817,6827200
29-10-2015,42306,9.185,9.235,9.085,9.145,7.333868,5235000
30-10-2015,42307,9.095,9.1,9.015,9.08,7.28174,3857000
02-11-2015,42310,9.04,9.175,8.955,9.13,7.321838,4984200
03-11-2015,42311,9.095,9.305,8.98,9.175,7.357925,5878200
04-11-2015,42312,9.17,9.175,9.07,9.075,7.277731,3853000
05-11-2015,42313,9.035,9.09,9.03,9.045,7.253671,8524200
06-11-2015,42314,9.05,9.085,8.885,8.95,7.177485,6847200
09-11-2015,42317,8.905,8.95,8.7,8.83,7.081251,8349800
10-11-2015,42318,8.73,8.745,8.65,8.73,7.001056,4968200
11-11-2015,42319,8.745,8.77,8.68,8.735,7.005065,4435200
12-11-2015,42320,8.69,8.78,8.665,8.68,6.960959,4014000
13-11-2015,42321,8.62,8.645,8.46,8.51,6.824626,9543400
16-11-2015,42324,8.51,8.515,8.31,8.455,6.780519,15365200
17-11-2015,42325,8.155,8.21,7.93,8.055,6.459738,16822400
18-11-2015,42326,7.99,8.085,7.86,8.055,6.459738,12851400
19-11-2015,42327,8.14,8.215,8.03,8.145,6.531913,7275200
20-11-2015,42328,8.21,8.23,8.04,8.105,6.499835,5003800
23-11-2015,42331,8.125,8.17,8.1,8.12,6.511864,3599000
24-11-2015,42332,8.045,8.135,7.935,8.12,6.511864,5348200
25-11-2015,42333,8.13,8.13,8.02,8.085,6.483797,4569000
27-11-2015,42335,8.16,8.345,8.145,8.235,6.60409,6708400
30-11-2015,42338,8.32,8.5,8.225,8.34,6.688295,14280800
01-12-2015,42339,8.35,8.385,8.205,8.28,6.640177,6067200
02-12-2015,42340,8.21,8.225,8.11,8.13,6.519884,6377600
03-12-2015,42341,8.14,8.15,8.035,8.065,6.467756,4031000
04-12-2015,42342,8.065,8.215,8.06,8.185,6.563992,3501200
07-12-2015,42345,8.1,8.21,8.085,8.155,6.539933,4059400
08-12-2015,42346,8.085,8.085,7.935,7.96,6.383552,10154400
09-12-2015,42347,7.945,8.13,7.94,8.06,6.463748,7865000
10-12-2015,42348,8.175,8.225,8.14,8.215,6.58805,9517200
11-12-2015,42349,8.125,8.165,8.04,8.115,6.507854,6513800
14-12-2015,42352,8.22,8.325,8.155,8.26,6.624138,10607000
15-12-2015,42353,8.375,8.47,8.375,8.395,6.732402,7203200
16-12-2015,42354,8.53,8.53,8.385,8.46,6.784528,5703000
17-12-2015,42355,8.5,8.51,8.26,8.315,6.668245,12099200
18-12-2015,42356,8.245,8.345,8.165,8.175,6.555973,7591000
21-12-2015,42359,8.37,8.415,8.225,8.28,6.640177,8547800
22-12-2015,42360,8.285,8.405,8.28,8.395,6.732402,6223200
23-12-2015,42361,8.455,8.455,8.365,8.43,6.760471,4101400
24-12-2015,42362,8.43,8.46,8.4,8.425,6.75646,1068400
28-12-2015,42366,8.425,8.495,8.375,8.42,6.752451,3297400
29-12-2015,42367,8.455,8.525,8.45,8.475,6.796559,3829600
30-12-2015,42368,8.395,8.44,8.375,8.41,6.744431,3210000
31-12-2015,42369,8.47,8.47,8.36,8.375,6.716363,2945400
04-01-2016,42373,8.23,8.23,8.115,8.12,6.511864,8218400
05-01-2016,42374,8.15,8.2,8.07,8.1,6.495825,7265800
06-01-2016,42375,8.045,8.15,8,8.035,6.443698,7042000
07-01-2016,42376,7.905,8.14,7.88,8.03,6.439688,7850400
08-01-2016,42377,8.075,8.18,8.055,8.085,6.483797,8147400
11-01-2016,42380,8.09,8.195,8.075,8.125,6.515874,9768000
12-01-2016,42381,8.105,8.36,8.105,8.285,6.644187,11860800
13-01-2016,42382,8.375,8.49,8.22,8.23,6.600079,16731800
14-01-2016,42383,8.895,9.035,8.67,8.925,7.157438,23494600
15-01-2016,42384,8.665,8.8,8.56,8.66,6.944919,12403400
19-01-2016,42388,8.72,8.775,8.64,8.74,7.009076,12712200
20-01-2016,42389,8.59,8.765,8.52,8.71,6.985017,15478000
21-01-2016,42390,8.76,9.005,8.675,8.935,7.165459,13172600
22-01-2016,42391,8.91,9,8.895,8.95,7.177485,6572400
25-01-2016,42394,8.925,8.965,8.85,8.905,7.141398,7379000
26-01-2016,42395,8.93,8.975,8.74,8.76,7.025115,10147800
27-01-2016,42396,8.765,8.87,8.68,8.71,6.985017,12695600
28-01-2016,42397,8.72,8.77,8.625,8.65,6.9369,5453400
29-01-2016,42398,8.875,9.005,8.845,8.955,7.181497,9599600
01-02-2016,42401,8.94,8.94,8.825,8.885,7.12536,7780000
02-02-2016,42402,8.855,8.95,8.74,8.78,7.041154,6740800
03-02-2016,42403,8.85,8.885,8.675,8.825,7.077241,7823800
04-02-2016,42404,8.915,8.945,8.835,8.92,7.153427,6331800
05-02-2016,42405,8.86,8.88,8.655,8.675,6.956948,7734400
